Tanggal,Waktu,Tipe,Nama File atau Folder,Ukuran (Byte)
28/03/2025,09:51:40,Regular File,2024 - YAYASAN STT SAAT-31.jpg,26215547
28/03/2025,09:51:40,Regular File,backup copy.scpt,3028
28/03/2025,09:51:40,Directory,testing,64
28/03/2025,09:51:40,Regular File,ASSET_poster_prothumia-12.png,3597681
28/03/2025,09:51:40,Regular File,ASSET_poster_prothumia-13.png,195241
28/03/2025,09:51:40,Regular File,ASSET_poster_prothumia-14.png,80522
